,activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,pchembl_value,relation,standard_units,standard_value,target_chembl_id,target_organism,type,units,value
1025,1781457,CHEMBL908374,Displacement of [125I]ZM-241385 from human adenosine A2A receptor expressed in HEK cells,B,CHEMBL387440,6.78,=,nM,168.0,CHEMBL251,Homo sapiens,Ki,nM,168.0
1026,1781458,CHEMBL908374,Displacement of [125I]ZM-241385 from human adenosine A2A receptor expressed in HEK cells,B,CHEMBL217085,5.65,=,nM,2260.0,CHEMBL251,Homo sapiens,Ki,nM,2260.0
1027,1781459,CHEMBL908374,Displacement of [125I]ZM-241385 from human adenosine A2A receptor expressed in HEK cells,B,CHEMBL214228,5.57,=,nM,2720.0,CHEMBL251,Homo sapiens,Ki,nM,2720.0
1028,1795713,CHEMBL909305,Displacement of [3H]CGS-21680 from human Adenosine A2A receptor expressed in CHO cells,B,CHEMBL218378,5.22,=,nM,6000.0,CHEMBL251,Homo sapiens,Ki,nM,6000.0
1029,1795799,CHEMBL909305,Displacement of [3H]CGS-21680 from human Adenosine A2A receptor expressed in CHO cells,B,CHEMBL386698,5.75,=,nM,1800.0,CHEMBL251,Homo sapiens,Ki,nM,1800.0
1030,1801182,CHEMBL853707,Inhibitory constant against human adenosine A2a receptor,B,CHEMBL464859,6.17,=,nM,680.0,CHEMBL251,Homo sapiens,Ki,nM,680.0
1031,1802451,CHEMBL912890,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL464859,7.90,=,nM,12.5,CHEMBL251,Homo sapiens,Ki,nM,12.5
1032,1802545,CHEMBL912890,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL218989,5.50,=,nM,3200.0,CHEMBL251,Homo sapiens,Ki,nM,3200.0
1033,1802546,CHEMBL912890,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL409483,5.42,=,nM,3800.0,CHEMBL251,Homo sapiens,Ki,nM,3800.0
1034,1802547,CHEMBL912890,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL425643,5.77,=,nM,1700.0,CHEMBL251,Homo sapiens,Ki,nM,1700.0
1035,1802548,CHEMBL912890,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL218988,5.48,=,nM,3300.0,CHEMBL251,Homo sapiens,Ki,nM,3300.0
1036,1802549,CHEMBL912890,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL217952,6.20,=,nM,633.0,CHEMBL251,Homo sapiens,Ki,nM,633.0
1037,1802550,CHEMBL912890,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL218585,5.39,=,nM,4100.0,CHEMBL251,Homo sapiens,Ki,nM,4100.0
1038,1802551,CHEMBL912890,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL219413,5.30,=,nM,4950.0,CHEMBL251,Homo sapiens,Ki,nM,4950.0
1039,1802552,CHEMBL912890,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL219411,5.68,=,nM,2100.0,CHEMBL251,Homo sapiens,Ki,nM,2100.0
1040,1802553,CHEMBL912890,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL411332,5.80,=,nM,1600.0,CHEMBL251,Homo sapiens,Ki,nM,1600.0
1041,1802554,CHEMBL912890,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL219361,5.92,=,nM,1200.0,CHEMBL251,Homo sapiens,Ki,nM,1200.0
1042,1802555,CHEMBL912890,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL218596,5.81,=,nM,1550.0,CHEMBL251,Homo sapiens,Ki,nM,1550.0
1043,1809617,CHEMBL913646,Displacement of [3H]CGS21680 from human recombinant adenosine A2A receptor,B,CHEMBL220445,8.30,=,nM,5.0,CHEMBL251,Homo sapiens,Ki,nM,5.0
1044,1809620,CHEMBL913646,Displacement of [3H]CGS21680 from human recombinant adenosine A2A receptor,B,CHEMBL373827,7.51,=,nM,31.0,CHEMBL251,Homo sapiens,Ki,nM,31.0
1045,1809621,CHEMBL913646,Displacement of [3H]CGS21680 from human recombinant adenosine A2A receptor,B,CHEMBL426530,7.64,=,nM,23.0,CHEMBL251,Homo sapiens,Ki,nM,23.0
1046,1809626,CHEMBL913646,Displacement of [3H]CGS21680 from human recombinant adenosine A2A receptor,B,CHEMBL375764,6.39,=,nM,403.0,CHEMBL251,Homo sapiens,Ki,nM,403.0
1047,1809627,CHEMBL913646,Displacement of [3H]CGS21680 from human recombinant adenosine A2A receptor,B,CHEMBL222201,6.57,=,nM,267.0,CHEMBL251,Homo sapiens,Ki,nM,267.0
1048,1809628,CHEMBL913646,Displacement of [3H]CGS21680 from human recombinant adenosine A2A receptor,B,CHEMBL448781,6.68,=,nM,210.0,CHEMBL251,Homo sapiens,Ki,nM,210.0
1049,1809629,CHEMBL913646,Displacement of [3H]CGS21680 from human recombinant adenosine A2A receptor,B,CHEMBL223828,6.70,=,nM,201.0,CHEMBL251,Homo sapiens,Ki,nM,201.0
1050,1809630,CHEMBL913646,Displacement of [3H]CGS21680 from human recombinant adenosine A2A receptor,B,CHEMBL375164,6.82,=,nM,151.0,CHEMBL251,Homo sapiens,Ki,nM,151.0
1051,1809631,CHEMBL913646,Displacement of [3H]CGS21680 from human recombinant adenosine A2A receptor,B,CHEMBL376920,6.93,=,nM,118.0,CHEMBL251,Homo sapiens,Ki,nM,118.0
1052,1809632,CHEMBL913646,Displacement of [3H]CGS21680 from human recombinant adenosine A2A receptor,B,CHEMBL220118,6.97,=,nM,106.0,CHEMBL251,Homo sapiens,Ki,nM,106.0
1053,1809633,CHEMBL913646,Displacement of [3H]CGS21680 from human recombinant adenosine A2A receptor,B,CHEMBL220684,7.05,=,nM,89.0,CHEMBL251,Homo sapiens,Ki,nM,89.0
1054,1809634,CHEMBL913646,Displacement of [3H]CGS21680 from human recombinant adenosine A2A receptor,B,CHEMBL412622,7.06,=,nM,87.0,CHEMBL251,Homo sapiens,Ki,nM,87.0
1055,1809656,CHEMBL913646,Displacement of [3H]CGS21680 from human recombinant adenosine A2A receptor,B,CHEMBL374236,6.34,=,nM,454.0,CHEMBL251,Homo sapiens,Ki,nM,454.0
1056,1809657,CHEMBL913646,Displacement of [3H]CGS21680 from human recombinant adenosine A2A receptor,B,CHEMBL220287,6.54,=,nM,290.0,CHEMBL251,Homo sapiens,Ki,nM,290.0
1057,1809658,CHEMBL913646,Displacement of [3H]CGS21680 from human recombinant adenosine A2A receptor,B,CHEMBL221220,6.54,=,nM,287.0,CHEMBL251,Homo sapiens,Ki,nM,287.0
1058,1809659,CHEMBL913646,Displacement of [3H]CGS21680 from human recombinant adenosine A2A receptor,B,CHEMBL221219,6.54,=,nM,287.0,CHEMBL251,Homo sapiens,Ki,nM,287.0
1059,1809661,CHEMBL913646,Displacement of [3H]CGS21680 from human recombinant adenosine A2A receptor,B,CHEMBL221155,6.63,=,nM,232.0,CHEMBL251,Homo sapiens,Ki,nM,232.0
1060,1818126,CHEMBL907969,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL374938,6.72,=,nM,192.0,CHEMBL251,Homo sapiens,Ki,nM,192.0
1061,1818128,CHEMBL907969,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL219160,6.71,=,nM,194.0,CHEMBL251,Homo sapiens,Ki,nM,194.0
1062,1818129,CHEMBL907969,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL220053,5.98,=,nM,1055.0,CHEMBL251,Homo sapiens,Ki,nM,1055.0
1063,1818130,CHEMBL907969,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL385109,6.61,=,nM,247.0,CHEMBL251,Homo sapiens,Ki,nM,247.0
1064,1818131,CHEMBL907969,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL221486,6.72,=,nM,189.0,CHEMBL251,Homo sapiens,Ki,nM,189.0
1065,1818132,CHEMBL907969,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL221343,6.64,=,nM,230.0,CHEMBL251,Homo sapiens,Ki,nM,230.0
1066,1818133,CHEMBL907969,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL376648,6.94,=,nM,114.0,CHEMBL251,Homo sapiens,Ki,nM,114.0
1067,1818134,CHEMBL907969,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL222130,6.75,=,nM,177.0,CHEMBL251,Homo sapiens,Ki,nM,177.0
1068,1818135,CHEMBL907969,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL220587,6.43,=,nM,375.0,CHEMBL251,Homo sapiens,Ki,nM,375.0
1069,1818136,CHEMBL907969,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL220535,7.41,=,nM,39.0,CHEMBL251,Homo sapiens,Ki,nM,39.0
1070,1822775,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL375190,6.44,=,nM,363.0,CHEMBL251,Homo sapiens,Ki,nM,363.0
1071,1822807,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL221206,4.79,=,nM,16300.0,CHEMBL251,Homo sapiens,Ki,nM,16300.0
1072,1822808,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL223786,5.38,=,nM,4210.0,CHEMBL251,Homo sapiens,Ki,nM,4210.0
1073,1822809,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL220386,5.20,=,nM,6290.0,CHEMBL251,Homo sapiens,Ki,nM,6290.0
1074,1822810,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL374336,4.57,=,nM,27100.0,CHEMBL251,Homo sapiens,Ki,nM,27100.0
1075,1822811,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL374792,5.34,=,nM,4600.0,CHEMBL251,Homo sapiens,Ki,nM,4600.0
1076,1822812,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL374462,5.19,=,nM,6460.0,CHEMBL251,Homo sapiens,Ki,nM,6460.0
1077,1822813,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL374242,5.18,=,nM,6660.0,CHEMBL251,Homo sapiens,Ki,nM,6660.0
1078,1822814,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL375301,5.28,=,nM,5290.0,CHEMBL251,Homo sapiens,Ki,nM,5290.0
1079,1822815,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL223270,6.21,=,nM,620.0,CHEMBL251,Homo sapiens,Ki,nM,620.0
1080,1822816,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL223625,4.98,=,nM,10400.0,CHEMBL251,Homo sapiens,Ki,nM,10400.0
1081,1822817,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL427077,4.73,=,nM,18700.0,CHEMBL251,Homo sapiens,Ki,nM,18700.0
1082,1822818,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL220334,4.50,=,nM,31700.0,CHEMBL251,Homo sapiens,Ki,nM,31700.0
1083,1822819,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL223456,4.83,=,nM,14700.0,CHEMBL251,Homo sapiens,Ki,nM,14700.0
1084,1822820,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL223514,4.75,=,nM,18000.0,CHEMBL251,Homo sapiens,Ki,nM,18000.0
1085,1822821,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL385771,4.92,=,nM,12100.0,CHEMBL251,Homo sapiens,Ki,nM,12100.0
1086,1822822,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL1162942,5.75,=,nM,1760.0,CHEMBL251,Homo sapiens,Ki,nM,1760.0
1087,1822823,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL220158,5.75,=,nM,1780.0,CHEMBL251,Homo sapiens,Ki,nM,1780.0
1088,1822824,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL223740,5.50,=,nM,3130.0,CHEMBL251,Homo sapiens,Ki,nM,3130.0
1089,1822825,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL385770,5.57,=,nM,2680.0,CHEMBL251,Homo sapiens,Ki,nM,2680.0
1090,1822826,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL220335,5.51,=,nM,3080.0,CHEMBL251,Homo sapiens,Ki,nM,3080.0
1091,1822827,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL373578,5.08,=,nM,8270.0,CHEMBL251,Homo sapiens,Ki,nM,8270.0
1092,1822828,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL223739,5.40,=,nM,3960.0,CHEMBL251,Homo sapiens,Ki,nM,3960.0
1093,1822829,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL374320,5.19,=,nM,6520.0,CHEMBL251,Homo sapiens,Ki,nM,6520.0
1094,1822830,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL426537,4.46,=,nM,35100.0,CHEMBL251,Homo sapiens,Ki,nM,35100.0
1095,1822831,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL220899,5.20,=,nM,6310.0,CHEMBL251,Homo sapiens,Ki,nM,6310.0
1096,1822832,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL223328,4.90,=,nM,12500.0,CHEMBL251,Homo sapiens,Ki,nM,12500.0
1097,1822833,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL223327,5.53,=,nM,2960.0,CHEMBL251,Homo sapiens,Ki,nM,2960.0
1098,1822834,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL223326,7.04,=,nM,91.0,CHEMBL251,Homo sapiens,Ki,nM,91.0
1099,1822835,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL219888,6.12,=,nM,758.0,CHEMBL251,Homo sapiens,Ki,nM,758.0
1100,1822836,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL375619,5.74,=,nM,1820.0,CHEMBL251,Homo sapiens,Ki,nM,1820.0
1101,1822837,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL267421,5.24,=,nM,5740.0,CHEMBL251,Homo sapiens,Ki,nM,5740.0
1102,1822838,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL220889,6.57,=,nM,267.0,CHEMBL251,Homo sapiens,Ki,nM,267.0
1103,1822839,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL374019,5.50,=,nM,3140.0,CHEMBL251,Homo sapiens,Ki,nM,3140.0
1104,1822840,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL441707,5.37,=,nM,4290.0,CHEMBL251,Homo sapiens,Ki,nM,4290.0
1105,1822841,CHEMBL917987,Displacement of [3H]NECA from human recombinant adenosine A2A receptor expressed in CHO cells,B,CHEMBL223472,4.91,=,nM,12400.0,CHEMBL251,Homo sapiens,Ki,nM,12400.0
1106,1831028,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL139000,6.05,=,nM,884.0,CHEMBL251,Homo sapiens,Ki,nM,884.0
1107,1831034,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL224874,8.70,=,nM,2.0,CHEMBL251,Homo sapiens,Ki,nM,2.0
1108,1831035,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL376542,6.20,=,nM,628.0,CHEMBL251,Homo sapiens,Ki,nM,628.0
1109,1831036,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL464859,8.66,=,nM,2.2,CHEMBL251,Homo sapiens,Ki,nM,2.2
1110,1831067,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL374461,6.43,=,nM,373.0,CHEMBL251,Homo sapiens,Ki,nM,373.0
1111,1831068,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL222945,7.02,=,nM,95.0,CHEMBL251,Homo sapiens,Ki,nM,95.0
1112,1831069,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL375080,5.57,=,nM,2670.0,CHEMBL251,Homo sapiens,Ki,nM,2670.0
1113,1831070,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL223366,7.35,=,nM,45.0,CHEMBL251,Homo sapiens,Ki,nM,45.0
1114,1831071,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL225287,7.88,=,nM,13.3,CHEMBL251,Homo sapiens,Ki,nM,13.3
1115,1831072,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL225233,7.96,=,nM,10.9,CHEMBL251,Homo sapiens,Ki,nM,10.9
1116,1831073,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL374760,7.79,=,nM,16.1,CHEMBL251,Homo sapiens,Ki,nM,16.1
1117,1831074,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL426928,7.25,=,nM,56.8,CHEMBL251,Homo sapiens,Ki,nM,56.8
1118,1831075,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL225593,7.16,=,nM,69.3,CHEMBL251,Homo sapiens,Ki,nM,69.3
1119,1831076,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL225535,7.24,=,nM,58.1,CHEMBL251,Homo sapiens,Ki,nM,58.1
1120,1831077,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL222392,6.38,=,nM,413.0,CHEMBL251,Homo sapiens,Ki,nM,413.0
1121,1831078,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL387324,6.29,=,nM,519.0,CHEMBL251,Homo sapiens,Ki,nM,519.0
1122,1831079,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL374151,6.30,=,nM,500.0,CHEMBL251,Homo sapiens,Ki,nM,500.0
1123,1831080,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL374685,8.03,=,nM,9.3,CHEMBL251,Homo sapiens,Ki,nM,9.3
1124,1831081,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL387354,6.24,=,nM,579.0,CHEMBL251,Homo sapiens,Ki,nM,579.0
1125,1831082,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL223846,6.44,=,nM,360.0,CHEMBL251,Homo sapiens,Ki,nM,360.0
1126,1831155,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL223845,6.60,=,nM,250.0,CHEMBL251,Homo sapiens,Ki,nM,250.0
1127,1831156,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL2113270,6.46,=,nM,344.0,CHEMBL251,Homo sapiens,Ki,nM,344.0
1128,1831157,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL2113271,6.56,=,nM,277.0,CHEMBL251,Homo sapiens,Ki,nM,277.0
1129,1831158,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL221363,5.41,=,nM,3870.0,CHEMBL251,Homo sapiens,Ki,nM,3870.0
1130,1831159,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL222500,6.35,=,nM,450.0,CHEMBL251,Homo sapiens,Ki,nM,450.0
1131,1831160,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL374028,5.85,=,nM,1400.0,CHEMBL251,Homo sapiens,Ki,nM,1400.0
1132,1831161,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL223729,6.60,=,nM,252.0,CHEMBL251,Homo sapiens,Ki,nM,252.0
1133,1831162,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL434377,7.40,=,nM,39.7,CHEMBL251,Homo sapiens,Ki,nM,39.7
1134,1831163,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL225459,6.82,=,nM,150.0,CHEMBL251,Homo sapiens,Ki,nM,150.0
1135,1831164,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL222907,7.53,=,nM,29.3,CHEMBL251,Homo sapiens,Ki,nM,29.3
1136,1831165,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL222748,6.05,=,nM,900.0,CHEMBL251,Homo sapiens,Ki,nM,900.0
1137,1831166,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL222194,6.30,=,nM,502.0,CHEMBL251,Homo sapiens,Ki,nM,502.0
1138,1831167,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL222442,6.41,=,nM,390.0,CHEMBL251,Homo sapiens,Ki,nM,390.0
1139,1831168,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL373478,6.43,=,nM,370.0,CHEMBL251,Homo sapiens,Ki,nM,370.0
1140,1831169,CHEMBL918609,Displacement of [3H]CGS-21680 from human adenosine A2A receptor expressed in CHO cells,B,CHEMBL221777,5.59,=,nM,2570.0,CHEMBL251,Homo sapiens,Ki,nM,2570.0
1141,1840822,CHEMBL918671,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in HEK293 cells,B,CHEMBL426565,6.31,=,nM,489.0,CHEMBL251,Homo sapiens,Ki,nM,489.0
1142,1840823,CHEMBL918671,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in HEK293 cells,B,CHEMBL224835,6.64,=,nM,228.0,CHEMBL251,Homo sapiens,Ki,nM,228.0
1143,1840839,CHEMBL918671,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in HEK293 cells,B,CHEMBL222718,6.05,=,nM,893.0,CHEMBL251,Homo sapiens,Ki,nM,893.0
1144,1840840,CHEMBL918671,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in HEK293 cells,B,CHEMBL222496,6.68,=,nM,208.0,CHEMBL251,Homo sapiens,Ki,nM,208.0
1145,1840841,CHEMBL918671,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in HEK293 cells,B,CHEMBL375631,6.71,=,nM,196.0,CHEMBL251,Homo sapiens,Ki,nM,196.0
1146,1840842,CHEMBL918671,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in HEK293 cells,B,CHEMBL223978,6.75,=,nM,179.0,CHEMBL251,Homo sapiens,Ki,nM,179.0
1147,1840843,CHEMBL918671,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in HEK293 cells,B,CHEMBL388113,6.72,=,nM,189.0,CHEMBL251,Homo sapiens,Ki,nM,189.0
1148,1840844,CHEMBL918671,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in HEK293 cells,B,CHEMBL223977,6.05,=,nM,899.0,CHEMBL251,Homo sapiens,Ki,nM,899.0
1149,1840845,CHEMBL918671,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in HEK293 cells,B,CHEMBL390535,6.42,=,nM,381.0,CHEMBL251,Homo sapiens,Ki,nM,381.0
1150,1840846,CHEMBL918671,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in HEK293 cells,B,CHEMBL387322,6.80,=,nM,157.0,CHEMBL251,Homo sapiens,Ki,nM,157.0
1151,1840847,CHEMBL918671,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in HEK293 cells,B,CHEMBL222433,6.42,=,nM,376.0,CHEMBL251,Homo sapiens,Ki,nM,376.0
1152,1840848,CHEMBL918671,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in HEK293 cells,B,CHEMBL222384,6.91,=,nM,124.0,CHEMBL251,Homo sapiens,Ki,nM,124.0
1153,1840849,CHEMBL918671,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in HEK293 cells,B,CHEMBL222474,7.09,=,nM,81.9,CHEMBL251,Homo sapiens,Ki,nM,81.9
1154,1844722,CHEMBL920043,Displacement of [3H]CGS-21680 from adenosine A2A receptor in bovine cerebral cortical membranes,B,CHEMBL225341,5.12,=,nM,7671.0,CHEMBL251,Homo sapiens,Ki,nM,7671.0
1155,1844723,CHEMBL920043,Displacement of [3H]CGS-21680 from adenosine A2A receptor in bovine cerebral cortical membranes,B,CHEMBL427255,5.82,=,nM,1517.0,CHEMBL251,Homo sapiens,Ki,nM,1517.0
1156,1844724,CHEMBL920043,Displacement of [3H]CGS-21680 from adenosine A2A receptor in bovine cerebral cortical membranes,B,CHEMBL224083,5.12,=,nM,7503.0,CHEMBL251,Homo sapiens,Ki,nM,7503.0
